Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2021;AMAZONAS;SAN NICOLAS;RODRIGUEZ DE MENDOZA;SELVA;16;13;2021;1;Polygon;;1
2019;AMAZONAS;MAGDALENA;CHACHAPOYAS;SIERRA;16;17;2021;1;Polygon;1;
2019;AMAZONAS;CHIRIMOTO;RODRIGUEZ DE MENDOZA;SELVA;16;17;2021;1;Polygon;1;
2018;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SIERRA;16;49;2021;1;Polygon;;1
2018;AMAZONAS;BAGUA GRANDE;UTCUBAMBA;SELVA;16;12;2021;1;Polygon;1;
2017;LIMA;LOS OLIVOS;LIMA;COSTA;16;29;2021;1;Polygon;;1
2017;AMAZONAS;BAGUA GRANDE;UTCUBAMBA;SELVA;16;20;2021;1;Polygon;;1
2013;AMAZONAS;BAGUA GRANDE;UTCUBAMBA;SELVA;16;36;2021;1;Polygon;1;
2012;AMAZONAS;JAZAN;BONGARA;SELVA;16;46;2021;1;Polygon;1;
2012;AMAZONAS;JAZAN;BONGARA;SELVA;16;6;2021;1;Polygon;;1
2017;AMAZONAS;CHUQUIBAMBA;CHACHAPOYAS;SIERRA;16;49;2021;1;Polygon;1;
2013;AMAZONAS;LEVANTO;CHACHAPOYAS;SIERRA;16;34;2021;1;Polygon;1;
2017;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;41;2021;1;Polygon;1;
2017;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;4;2021;1;Polygon;;1
2016;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;3;2021;1;Polygon;1;
2013;AMAZONAS;BAGUA;BAGUA;SELVA;16;46;2021;1;Polygon;;1
2013;AMAZONAS;IMAZA;BAGUA;SELVA;16;16;2021;1;Polygon;1;
2015;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;7;2021;1;Polygon;;1
2015;AMAZONAS;IMAZA;BAGUA;SELVA;16;52;2021;1;Polygon;1;
2015;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;13;2021;1;Polygon;1;
2014;AMAZONAS;IMAZA;BAGUA;SELVA;16;49;2021;1;Polygon;;1
2014;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;18;2021;1;Polygon;1;
2015;AMAZONAS;IMAZA;BAGUA;SELVA;16;25;2021;1;Polygon;1;
2014;AMAZONAS;ARAMANGO;BAGUA;SELVA;16;1;2021;1;Polygon;;1
2016;AMAZONAS;IMAZA;BAGUA;SELVA;16;26;2021;1;Polygon;1;
2016;AMAZONAS;IMAZA;BAGUA;SELVA;16;42;2021;1;Polygon;;1
2017;AMAZONAS;IMAZA;BAGUA;SELVA;16;40;2021;1;Polygon;1;
2019;AMAZONAS;IMAZA;BAGUA;SELVA;16;14;2021;1;Polygon;1;
2012;AMAZONAS;IMAZA;BAGUA;SELVA;16;21;2021;1;Polygon;1;
2016;AMAZONAS;IMAZA;BAGUA;SELVA;16;22;2021;1;Polygon;1;
2018;AMAZONAS;IMAZA;BAGUA;SELVA;16;44;2021;1;Polygon;1;
2019;AMAZONAS;IMAZA;BAGUA;SELVA;16;26;2021;1;Polygon;;1
2019;AMAZONAS;IMAZA;BAGUA;SELVA;16;29;2021;1;Polygon;1;
2018;AMAZONAS;JAZAN;BONGARA;SELVA;16;43;2021;1;Polygon;;1
2012;AMAZONAS;COROSHA;BONGARA;SIERRA;16;18;2021;1;Polygon;1;
2012;AMAZONAS;CUISPES;BONGARA;SELVA;16;46;2021;1;Polygon;1;
2014;AMAZONAS;JAMALCA;UTCUBAMBA;SELVA;16;30;2021;1;Polygon;1;
2019;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;11;2021;1;Polygon;1;
2018;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;38;2021;1;Polygon;1;
2012;AMAZONAS;RIO SANTIAGO;CONDORCANQUI;SELVA;16;9;2021;1;Polygon;1;
2015;AMAZONAS;RIO SANTIAGO;CONDORCANQUI;SELVA;16;22;2021;1;Polygon;1;
2016;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;21;2021;1;Polygon;1;
2012;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;46;2021;1;Polygon;;1
2017;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;25;2021;1;Polygon;1;
2016;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;32;2021;1;Polygon;1;
2016;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;14;2021;1;Polygon;;1
2014;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;36;2021;1;Polygon;;1
2014;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;12;2021;1;Polygon;1;
2018;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;39;2021;1;Polygon;1;
2017;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;15;2021;1;Polygon;1;
2014;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;19;2021;1;Polygon;1;
2013;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;34;2021;1;Polygon;;1
2017;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;1;2021;1;Polygon;1;
2016;AMAZONAS;IMAZA;BAGUA;SELVA;16;46;2021;1;Polygon;1;
2012;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;22;2021;1;Polygon;;1
2019;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;45;2021;1;Polygon;;1
2016;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;41;2021;1;Polygon;;1
2015;AMAZONAS;NIEVA;CONDORCANQUI;SELVA;16;26;2021;1;Polygon;;1
2018;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;27;2021;1;Polygon;1;
2013;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;31;2021;1;Polygon;1;
2017;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;28;2021;1;Polygon;;1
2015;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;7;2021;1;Polygon;1;
2013;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;35;2021;1;Polygon;;1
2015;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;7;2021;1;Polygon;1;
2012;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;43;2021;1;Polygon;1;
2016;AMAZONAS;EL CENEPA;CONDORCANQUI;SELVA;16;39;2021;1;Polygon;;1
