HDI Rank,Country,1990,V4,1991,V6,1992,V8,1993,V10,1994,V12,1995,V14,1996,V16,1997,V18,1998,V20,1999,V22,2000,V24,2001,V26,2002,V28,2003,V30,2004,V32,2005,V34,2006,V36,2007,V38,2008,V40,2009,V42,2010,V44,2011,V46,2012,V48,2013,V50,2014,V52,2015,V54,2016,V56,2017,V58,2018,V60,2019,V62
"""169""", Afghanistan,0.302,,0.307,,0.316,,0.312,,0.307,,0.331,,0.335,,0.339,,0.344,,0.348,,0.350,,0.353,,0.384,,0.393,,0.409,,"""0.418""",,"""0.429""",,"""0.447""",,"""0.447""",,"""0.460""",,"""0.472""",,"""0.477""",,"""0.489""",,"""0.496""",,"""0.500""",,"""0.500""",,"""0.502""",,"""0.506""",,"""0.509""",,"""0.511""",
"""69""", Albania,0.650,,0.631,,0.615,,0.618,,0.624,,0.637,,0.646,,0.645,,0.655,,0.665,,0.671,,0.678,,0.684,,0.691,,0.696,,"""0.706""",,"""0.713""",,"""0.722""",,"""0.728""",,"""0.733""",,"""0.745""",,"""0.764""",,"""0.775""",,"""0.782""",,"""0.787""",,"""0.788""",,"""0.788""",,"""0.790""",,"""0.792""",,"""0.795""",
"""91""", Algeria,0.572,,0.576,,0.582,,0.586,,0.590,,0.595,,0.602,,0.611,,0.621,,0.629,,0.637,,0.647,,0.657,,0.667,,0.677,,"""0.685""",,"""0.690""",,"""0.700""",,"""0.702""",,"""0.711""",,"""0.721""",,"""0.728""",,"""0.728""",,"""0.729""",,"""0.736""",,"""0.740""",,"""0.743""",,"""0.745""",,"""0.746""",,"""0.748""",
"""36""", Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.813,,0.815,,0.820,,0.827,,0.833,,"""0.827""",,"""0.837""",,"""0.837""",,"""0.840""",,"""0.839""",,"""0.837""",,"""0.836""",,"""0.858""",,"""0.856""",,"""0.863""",,"""0.862""",,"""0.866""",,"""0.863""",,"""0.867""",,"""0.868""",
"""148""", Angola,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.391,,0.400,,0.410,,0.426,,0.435,,0.446,,"""0.460""",,"""0.473""",,"""0.489""",,"""0.501""",,"""0.515""",,"""0.517""",,"""0.533""",,"""0.544""",,"""0.555""",,"""0.565""",,"""0.572""",,"""0.578""",,"""0.582""",,"""0.582""",,"""0.581""",
"""78""", Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"""0.764""",,"""0.771""",,"""0.776""",,"""0.774""",,"""0.767""",,"""0.763""",,"""0.755""",,"""0.759""",,"""0.760""",,"""0.760""",,"""0.762""",,"""0.765""",,"""0.768""",,"""0.772""",,"""0.778""",
"""46""", Argentina,0.718,,0.725,,0.730,,0.735,,0.739,,0.741,,0.748,,0.757,,0.763,,0.774,,0.781,,0.786,,0.781,,0.786,,0.787,,"""0.788""",,"""0.812""",,"""0.817""",,"""0.821""",,"""0.821""",,"""0.829""",,"""0.835""",,"""0.834""",,"""0.835""",,"""0.836""",,"""0.840""",,"""0.839""",,"""0.843""",,"""0.842""",,"""0.845""",
"""81""", Armenia,0.654,,0.648,,0.618,,0.617,,0.621,,0.627,,0.634,,0.645,,0.657,,0.664,,0.669,,0.673,,0.682,,0.691,,0.700,,"""0.712""",,"""0.726""",,"""0.741""",,"""0.745""",,"""0.742""",,"""0.747""",,"""0.751""",,"""0.756""",,"""0.762""",,"""0.764""",,"""0.768""",,"""0.766""",,"""0.769""",,"""0.771""",,"""0.776""",
"""8""", Australia,0.871,,0.871,,0.873,,0.876,,0.879,,0.888,,0.890,,0.893,,0.896,,0.900,,0.903,,0.905,,0.907,,0.909,,0.911,,"""0.906""",,"""0.909""",,"""0.912""",,"""0.926""",,"""0.928""",,"""0.930""",,"""0.932""",,"""0.937""",,"""0.931""",,"""0.933""",,"""0.938""",,"""0.939""",,"""0.941""",,"""0.943""",,"""0.944""",
