UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTIM_POB,IDH_2019,%POBREZA,%POBREZAEXT,TASA_NOLEER,TASA_INDIGENA,TASA_NOAFILSALUD,TASA_MAS80,UNA_DOSIS,DOS_DOSIS,TRES_DOSIS
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,29041,0.642360593890392,0.09034625,0.01439875,0.0848752646598546,0.055356101752125,0.181502961121851,0.0197651596019421,38010,36057,15146
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,291,0.423031925028296,0.36519949,0.1568075,0.175572519083969,0.297709923664122,0.0458015267175573,0.0378006872852234,79,66,51
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1639,0.315308421322158,0.45732962,0.1542712,0.167253521126761,0.00440140845070423,0.182218309859155,0.0134228187919463,714,640,58
010104,AMAZONAS,CHACHAPOYAS,CHETO,595,0.345745781567757,0.39169782,0.2367841,0.0950155763239875,0.0218068535825545,0.110591900311526,0.0487394957983193,437,446,203
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,716,0.275037798834594,0.53045662,0.3639537,0.177777777777778,0.00170940170940171,0.052991452991453,0.0335195530726257,526,474,286
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2088,0.269269728632059,0.51607832,0.4378883,0.128017967434026,0,0.0954519932622122,0.0373563218390805,953,741,124
010107,AMAZONAS,CHACHAPOYAS,GRANADA,387,0.358001458425031,0.43865957,0.05943345,0.139583333333333,0.222916666666667,0.135416666666667,0.0465116279069768,263,241,94
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,1318,0.414755647270218,0.31977312,0.1250203,0.0834658187599364,0.198728139904611,0.245627980922099,0.0128983308042489,392,381,40
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,5561,0.295184437819084,0.47947723,0.2835085,0.169934640522876,0.207642031171443,0.0739064856711916,0.0154648444524366,3793,3364,692
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,4233,0.398950920974067,0.25741684,0.1519174,0.148066298342541,0.0149171270718232,0.137845303867403,0.0255138199858257,2432,2169,521
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,882,0.324295307546424,0.41081444,0.2437787,0.162468513853904,0.00251889168765743,0.144836272040302,0.0510204081632653,400,359,168
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,803,0.473769772128404,0.30634088,0.2061026,0.129107981220657,0.0363849765258216,0.123239436619718,0.062266500622665,489,478,253
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1015,0.446101217220829,0.39230882,0.1890431,0.136064374542794,0.0124359912216533,0.150694952450622,0.0394088669950739,575,509,169
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2767,0.380907159068978,0.35654304,0.2545505,0.134191176470588,0.221047794117647,0.169117647058824,0.0231297434044091,1620,1512,474
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,593,0.447630676188927,0.38644489,0.1008896,0.125,0.0544354838709677,0.165322580645161,0.0522765598650928,325,299,138
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,364,0.364667298382429,0.479082,0.02628461,0.130666666666667,0.0426666666666667,0.152,0.0274725274725275,105,93,40
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,852,0.341954115321283,0.47119202,0.1934588,0.193758127438231,0.0299089726918075,0.279583875162549,0.0446009389671362,304,254,167
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,353,0.489705575826164,0.29704094,0.07683372,0.0677966101694915,0.0135593220338983,0.135593220338983,0.0424929178470255,139,141,101
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,711,0.321841647375863,0.43370115,0.2792597,0.13448275862069,0.0241379310344828,0.0672413793103448,0.0337552742616034,427,416,195
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1330,0.344628159000522,0.41062364,0.2118722,0.149509803921569,0.00571895424836601,0.168300653594771,0.0518796992481203,853,787,406
010121,AMAZONAS,CHACHAPOYAS,SONCHE,221,0.372094481565758,0.55850202,0.5277253,0.165991902834008,0,0.1417004048583,0.0407239819004525,141,122,42
010201,AMAZONAS,BAGUA,BAGUA,26246,0.584063033773132,0.16212835,0.04467983,0.101763707475463,0.0244631392517157,0.158032617519002,0.0124590413777337,22111,18138,4200
010202,AMAZONAS,BAGUA,ARAMANGO,11151,0.361182152533835,0.38525807,0.1927075,0.1810547875064,0.094521249359959,0.111008704557092,0.0172181867097121,5184,4279,489
010203,AMAZONAS,BAGUA,COPALLIN,6394,0.467245207758446,0.24530258,0.1124363,0.169096844396083,0.00478781284004353,0.09379760609358,0.0182984047544573,3343,3032,614
010204,AMAZONAS,BAGUA,EL PARCO,1489,0.489048641213126,0.35249588,0.1215905,0.153782894736842,0.00164473684210526,0.0822368421052632,0.0261920752182673,1050,898,173
010205,AMAZONAS,BAGUA,IMAZA,24373,0.298089241112547,0.5394969,0.4888884,0.199308481042842,0.479174946347667,0.134250059613703,0.00919049768186107,8873,5938,810
010206,AMAZONAS,BAGUA,LA PECA,8090,0.490583795558475,0.34761666,0.217995,0.16629392971246,0.00830670926517572,0.0875399361022364,0.0393077873918418,3840,3358,634
010301,AMAZONAS,BONGARA,JUMBILLA,1765,0.451394193185704,0.29547678,0.0512921,0.0964846671652954,0.0194465220643231,0.116679132385939,0.0181303116147309,2002,1855,584
010302,AMAZONAS,BONGARA,CHISQUILLA,340,0.474974891206606,0.4224183,0.2256179,0.107843137254902,0.0065359477124183,0.179738562091503,0.0264705882352941,53,52,45
010303,AMAZONAS,BONGARA,CHURUJA,272,0.515913557019013,0.2078695,0.01867667,0.111498257839721,0.00348432055749129,0.0871080139372822,0.0661764705882353,278,261,120
010304,AMAZONAS,BONGARA,COROSHA,1034,0.395898212710819,0.54796368,0.2457763,0.16839378238342,0.016839378238342,0.106217616580311,0.0174081237911025,152,122,21
010305,AMAZONAS,BONGARA,CUISPES,903,0.299445065686758,0.45831589,0.1279052,0.137518684603886,0.00298953662182362,0.200298953662182,0.0287929125138427,390,336,101
010306,AMAZONAS,BONGARA,FLORIDA,8582,0.359323571197629,0.33682214,0.0634247,0.14552425404234,0.0058343057176196,0.196532755459243,0.0157305989279888,5090,4770,983
010307,AMAZONAS,BONGARA,JAZAN,9355,0.511258094896226,0.22712901,0.1366821,0.109498680738786,0.0527704485488127,0.186543535620053,0.0236237306253341,6852,6556,1596
010308,AMAZONAS,BONGARA,RECTA,207,0.324005334659494,0.38690705,0.1561683,0.100961538461538,0,0.0961538461538462,0.0821256038647343,55,51,44
010309,AMAZONAS,BONGARA,SAN CARLOS,321,0.348034093956714,0.289591,0.04725558,0.0858895705521472,0.122699386503067,0.323108384458078,0.0529595015576324,223,212,70
010310,AMAZONAS,BONGARA,SHIPASBAMBA,1803,0.365002151268255,0.35863148,0.1336122,0.139701104613385,0.0480831708901884,0.11825860948668,0.0155296727676095,800,730,171
010311,AMAZONAS,BONGARA,VALERA,1293,0.40063511294374,0.2078695,0.08484321,0.124713958810069,0.0183066361556064,0.14187643020595,0.0278422273781903,662,629,230
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,8390,0.352290052865536,0.43859279,0.1094429,0.169266630805092,0.00806885422270038,0.153846153846154,0.0116805721096544,2910,2669,548
010401,AMAZONAS,CONDORCANQUI,NIEVA,29037,0.294015899367628,0.51406262,0.3486494,0.199291313218082,0.4705787608719,0.164930741973585,0.00371939249922513,11622,7091,641
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,9639,0.222500134398112,0.62912381,0.6002361,0.230916995248205,0.528763522394096,0.145687999191184,0.00466853408029879,2319,1553,85
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,16865,0.189784605920573,0.59872335,0.3138112,0.186196516878091,0.527055113595643,0.0924532358632552,0.0013044767269493,3085,2170,50
010501,AMAZONAS,LUYA,LAMUD,2322,0.485915285368237,0.30951386,0.05603407,0.126627750336776,0.0381679389312977,0.0808262236192187,0.0551248923341947,3053,2692,817
010502,AMAZONAS,LUYA,CAMPORREDONDO,7122,0.341756562388809,0.50206718,0.1098376,0.194500231731809,0.00123590298161594,0.171790514444616,0.016849199663016,4125,3480,601
010503,AMAZONAS,LUYA,COCABAMBA,2522,0.254097428970944,0.55979223,0.3550347,0.162679425837321,0.0026581605528974,0.0627325890483785,0.0178429817605075,1387,1165,295
010504,AMAZONAS,LUYA,COLCAMAR,2307,0.272209258088242,0.42320492,0.2924272,0.179168915272531,0.0156502968159741,0.0609821910415542,0.0338101430429129,1099,1050,293
010505,AMAZONAS,LUYA,CONILA,2102,0.338649206796812,0.49642272,0.3513756,0.172282608695652,0.0315217391304348,0.0989130434782609,0.038534728829686,612,562,116
010506,AMAZONAS,LUYA,INGUILPATA,608,0.349613290216736,0.40196248,0.1660086,0.174698795180723,0,0.0542168674698795,0.0526315789473684,221,271,226
010507,AMAZONAS,LUYA,LONGUITA,1155,0.262887743481219,0.56751291,0.3973001,0.183551847437426,0.0107270560190703,0.0572109654350417,0.0251082251082251,646,629,268
010508,AMAZONAS,LUYA,LONYA CHICO,983,0.338262271379248,0.46699525,0.3943642,0.155581947743468,0.0130641330166271,0.0522565320665083,0.0417090539165819,336,288,178
010509,AMAZONAS,LUYA,LUYA,4447,0.39411651595427,0.30284501,0.1004575,0.162414751199798,0.083354382419803,0.11694872442536,0.034180346300877,4543,3937,973
010510,AMAZONAS,LUYA,LUYA VIEJO,485,0.309417669598129,0.54438368,0.3277698,0.211340206185567,0.208762886597938,0.0438144329896907,0.0309278350515464,141,169,75
010511,AMAZONAS,LUYA,MARIA,949,0.28214384028439,0.51870194,0.2263015,0.147849462365591,0.00940860215053763,0.114247311827957,0.0347734457323498,613,552,182
010512,AMAZONAS,LUYA,OCALLI,4255,0.327352605941538,0.4539658,0.03817944,0.166760404949381,0.0194038245219348,0.129358830146232,0.0235017626321974,3007,2822,844
010513,AMAZONAS,LUYA,OCUMAL,4207,0.285337404934344,0.52242779,0.1689763,0.164248403946605,0.00319210679048172,0.0861868833430064,0.0192536249108628,2625,2478,769
010514,AMAZONAS,LUYA,PISUQUIA,6144,0.380224972788761,0.58528572,0.5472109,0.203439597315436,0.00943791946308725,0.0635486577181208,0.0211588541666667,3345,3099,899
010515,AMAZONAS,LUYA,PROVIDENCIA,1547,0.251746492122571,0.54733542,0.2942918,0.1709726443769,0.00151975683890578,0.0942249240121581,0.0284421460892049,753,725,301
